City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tandil,0,AR,1524543959,72,-37.33,-59.14,51.97,9.53
1,esperance,20,TT,1524538800,83,10.24,-61.45,77.0,5.82
2,zhigansk,80,RU,1524543593,67,66.77,123.37,26.14,9.75
3,avarua,75,CK,1524542400,78,-21.21,-159.78,78.8,4.7
4,socorro,68,PH,1524544089,100,13.06,121.41,79.96,3.38
5,morondava,0,MG,1524544089,100,-20.3,44.28,71.32,4.16
6,hilo,90,US,1524541980,94,19.71,-155.08,71.6,9.17
7,mataura,44,NZ,1524543546,81,-46.19,168.86,54.67,16.58
8,albany,1,US,1524542040,31,42.65,-73.75,57.2,6.51
9,new norfolk,0,AU,1524542400,43,-42.78,147.06,71.6,9.17
10,ribeira grande,0,PT,1524544089,98,38.52,-28.7,62.5,11.32
11,jamestown,88,AU,1524543576,30,-33.21,138.6,78.61,4.61
12,cabo san lucas,5,MX,1524537720,21,22.89,-109.91,82.4,5.82
13,noumea,75,NC,1524542400,69,-22.28,166.46,82.4,5.82
14,moche,75,PE,1524538800,88,-8.17,-79.01,68.0,9.17
15,kodiak,1,US,1524541980,53,39.95,-94.76,50.0,6.93
16,chany,56,RU,1524544093,94,55.31,76.76,50.44,10.98
17,waipawa,44,NZ,1524544094,59,-39.94,176.59,60.25,17.81
18,busselton,48,AU,1524543554,100,-33.64,115.35,65.74,4.94
19,acajutla,20,SV,1524543718,88,13.59,-89.83,76.54,2.93
20,cape town,0,ZA,1524538800,93,-33.93,18.42,59.0,11.41
21,xinmin,0,CN,1524540600,34,42.0,122.83,66.2,11.18
22,provideniya,75,RU,1524540600,68,64.42,-173.23,28.4,22.37
23,ushuaia,56,AR,1524543546,89,-54.81,-68.31,40.27,17.25
24,vaini,0,IN,1524543489,51,15.34,74.49,79.51,2.37
25,chokurdakh,0,RU,1524543635,98,70.62,147.9,34.06,12.66
26,puerto ayora,44,EC,1524543505,97,-0.74,-90.35,76.99,6.4
27,rikitea,76,PF,1524543545,100,-23.12,-134.97,77.53,10.87
28,carnarvon,0,ZA,1524543550,62,-30.97,22.13,40.45,3.27
29,ewa beach,1,US,1524542220,61,21.32,-158.01,78.8,10.29
30,severo-kurilsk,36,RU,1524544095,96,50.68,156.12,33.16,12.44
31,barrow,64,AR,1524543637,74,-38.31,-60.23,51.7,6.17
32,punta arenas,0,CL,1524538800,70,-53.16,-70.91,42.8,9.17
33,bredasdorp,76,ZA,1524538800,76,-34.53,20.04,57.2,8.05
34,egvekinot,0,RU,1524543636,85,66.32,-179.17,19.48,7.96
35,tibiri,0,NE,1524543703,58,13.59,7.06,70.33,2.93
36,houston,1,US,1524543300,93,29.76,-95.37,64.4,3.94
37,touros,92,BR,1524543632,89,-5.2,-35.46,79.33,11.43
38,bay roberts,5,CA,1524542400,74,47.58,-53.28,33.8,11.41
39,half moon bay,90,US,1524542400,87,37.46,-122.43,68.0,4.7
40,bethel,90,US,1524541980,76,60.79,-161.76,37.4,12.75
